Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 21.90      0.23     0.23    11536     0.00     0.00  Affichage::AffichagePlateau()
 12.38      0.36     0.13 33054954     0.00     0.00  std::vector<Parking, std::allocator<Parking> >::operator[](unsigned long)
  7.62      0.44     0.08      406     0.00     0.00  Environnement::Astar(Voiture&, unsigned int, unsigned int)
  3.81      0.48     0.04  7510200     0.00     0.00  std::vector<Place, std::allocator<Place> >::size() const
  2.86      0.51     0.03 46478936     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long)
  2.86      0.54     0.03 23305348     0.00     0.00  std::vector<Place, std::allocator<Place> >::operator[](unsigned long)
  2.86      0.57     0.03 13025878     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::push_back(Node* const&)
  2.38      0.59     0.03  2976962     0.00     0.00  Node::getNodepos()
  1.90      0.61     0.02 30815312     0.00     0.00  Parking::getPlacesTab()
  1.90      0.64     0.02 15389314     0.00     0.00  Place::getPos() const
  1.90      0.66     0.02  7475328     0.00     0.00  Place::getIsTaken() const
  1.90      0.68     0.02   748040     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator*() const
  1.90      0.69     0.02   453241     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::empty() const
  1.90      0.71     0.02   224196     0.00     0.00  Voiture::getheight()
  1.90      0.73     0.02    11536     0.00     0.00  Environnement::Environnement_play()
  1.90      0.76     0.02    11536     0.00     0.00  Environnement::updateStateVoiture()
  1.43      0.77     0.01 13025878     0.00     0.00  void __gnu_cxx::new_allocator<Node*>::construct<Node*, Node* const&>(Node**, Node* const&)
  1.43      0.79     0.01  2015890     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node** const&)
  1.43      0.80     0.01   219315     0.00     0.00  Voiture::setIs_parked(bool)
  1.43      0.81     0.01      406     0.00     0.00  Environnement::resetNodes(Voiture&)
  1.43      0.83     0.01        1     0.01     0.01  __static_initialization_and_destruction_0(int, int)
